0	79.305
1.581	79.347
2.911	79.334
3.737	79.349
4.492	79.308
6.073	79.286
7.906	79.209
10.014	79.203
11.068	79.222
13.176	79.289
14.23	79.373
16.339	79.438
17.393	79.428
18.447	79.364
20.555	79.383
21.609	79.375
22.663	79.399
23.465	79.387
25.802	79.4
30.042	79.535
32.162	79.547
33.204	79.529
34.258	79.545
36.366	79.388
37.42	79.216
38.486	79.243
47.973	79.251
49.015	79.23
50.069	79.109
51.135	79.189
51.926	79.176
53.232	79.2
53.507	79.174
54.262	79.18
55.34	79.023
61.664	78.935
63.82	78.921
64.827	78.894
66.156	78.816
66.947	78.797
67.989	78.81
69.043	78.797
70.9	78.715
71.151	78.698
72.205	78.556
75.368	77.761
76.422	77.642
77.476	77.715
78.53	77.727
79.584	77.679
80.638	77.695
81.692	77.651
82.746	77.509
85.92	77.532
88.017	77.516
89.071	77.563
90.125	77.524
91.454	77.503
93.287	77.528
96.45	77.612
97.504	77.568
98.558	77.578
102.774	77.804
106.99	77.891
111.207	77.781
112.261	77.777
114.416	77.71
115.172	77.7
117.543	77.843
118.585	77.862
119.64	77.75
120.741	77.594
124.91	76.745
125.964	76.586
127.03	76.258
129.126	76.019
130.983	75.749
131.235	75.732
132.289	75.522
132.564	75.517
133.343	75.438
134.397	75.475
135.451	75.373
136.505	75.344
137.559	75.294
138.613	75.273
139.667	75.227
141.776	75.265
142.83	75.258
143.884	75.183
144.938	75.148
147.046	75.206
149.154	75.358
150.208	75.372
151.538	75.262
152.316	75.149
153.371	75.161
154.425	75.15
155.491	75.18
159.695	75.555
160.749	75.607
164.966	75.648
166.02	75.672
169.182	75.693
171.337	75.568
172.092	75.538
172.883	75.528
173.674	75.459
175.506	75.159
176.561	74.899
176.836	74.847
179.723	74.38
179.998	74.365
180.789	74.392
181.579	74.511
181.831	74.571
182.885	74.72
183.939	74.773
184.993	74.746
190.264	74.757
191.318	74.716
194.48	74.847
195.534	74.754
197.391	74.432
198.697	74.187
199.798	74.018
202.134	73.603
203.967	73.305
205.021	73.084
206.087	72.647
206.878	72.263
210.04	70.602
210.83	70.202
211.621	69.816
214.508	68.466
215.562	67.98
219.3	66.41
219.778	66.209
220.832	65.85
221.108	65.8
221.934	65.699
222.689	65.627
222.941	65.617
223.48	65.426
224.27	64.965
225.025	64.921
226.103	64.798
226.642	64.531
227.157	64.225
227.432	64.197
228.211	64.264
229.014	64.142
229.265	64.12
230.319	64.096
231.373	64.501
232.427	64.405
232.966	64.385
233.757	64.374
234.547	64.414
235.59	64.381
236.644	64.313
237.71	64.328
238.5	64.32
239.291	64.246
240.872	64.047
241.914	64.047
243.244	64.097
244.825	63.94
246.131	63.868
247.185	63.953
247.987	63.882
248.239	63.886
249.293	64.077
249.568	64.097
251.149	64.119
251.94	64.08
252.731	64.007
254.312	64.011
255.618	63.985
255.893	63.949
256.683	63.79
257.726	63.804
258.78	63.9
259.055	63.888
259.846	63.775
260.636	63.872
261.427	63.888
262.217	63.948
263.008	63.907
263.799	64.01
